Year,Month,Day,Week Number,Corridor,Workday,Station,Period,Ridership,N_trains,Covid19
2019,January,1,1,Corridor_1,n,Station_1,Weekend/Holiday,174,3,0
2019,January,1,1,Corridor_1,n,Station_2,Weekend/Holiday,378,10,0
2019,January,1,1,Corridor_1,n,Station_3,Weekend/Holiday,599,12,0
2019,January,1,1,Corridor_2,n,Station_4,Weekend/Holiday,2759,35,0
2019,January,1,1,Corridor_2,n,Station_5,Weekend/Holiday,2629,36,0
2019,January,1,1,Corridor_2,n,Station_3,Weekend/Holiday,27,1,0
2019,January,1,1,Corridor_3,n,Station_4,Weekend/Holiday,3321,35,0
2019,January,1,1,Corridor_3,n,Station_5,Weekend/Holiday,3721,36,0
2019,January,1,1,Corridor_3,n,Station_3,Weekend/Holiday,17,1,0
2019,January,2,1,Corridor_1,y,Station_1,AM Peak,3519,6,0
2019,January,2,1,Corridor_1,y,Station_1,Midday,705,1,0
2019,January,2,1,Corridor_1,y,Station_2,Evening,39,3,0
2019,January,2,1,Corridor_1,y,Station_2,Midday,265,4,0
2019,January,2,1,Corridor_1,y,Station_2,PM Peak,68,1,0
2019,January,2,1,Corridor_1,y,Station_6,AM Peak,181,1,0
2019,January,2,1,Corridor_1,y,Station_6,Midday,422,2,0
2019,January,2,1,Corridor_1,y,Station_3,Evening,984,7,0
2019,January,2,1,Corridor_1,y,Station_3,Midday,261,6,0
2019,January,2,1,Corridor_1,y,Station_3,PM Peak,3861,5,0
2019,January,2,1,Corridor_4,y,Station_7,AM Peak,161,1,0
2019,January,2,1,Corridor_4,y,Station_8,AM Peak,1702,2,0
2019,January,2,1,Corridor_4,y,Station_9,AM Peak,2689,3,0
2019,January,2,1,Corridor_4,y,Station_9,Midday,535,1,0
2019,January,2,1,Corridor_4,y,Station_10,Midday,203,1,0
2019,January,2,1,Corridor_4,y,Station_11,AM Peak,267,1,0
2019,January,2,1,Corridor_4,y,Station_11,Midday,897,6,0
2019,January,2,1,Corridor_4,y,Station_11,PM Peak,116,2,0
2019,January,2,1,Corridor_4,y,Station_3,AM Peak,57,1,0
2019,January,2,1,Corridor_4,y,Station_3,Evening,448,1,0
2019,January,2,1,Corridor_4,y,Station_3,Midday,385,6,0
2019,January,2,1,Corridor_4,y,Station_3,PM Peak,5127,6,0
